2018/11/15 23:30:29 [error] 1588#1588: *802 directory index of "/app/static/" is forbidden, client: 10.0.2.2, server: static.shop.dev, request: "GET / HTTP/1.1", host: "static.shop.dev:9999"
2018/11/15 23:30:29 [error] 1588#1588: *802 open() "/app/static/favicon.ico" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /favicon.ico HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://static.shop.dev:9999/"
2018/11/15 23:31:17 [error] 1588#1588: *802 open() "/app/static/cache/banners/MacBookAir-1140x380.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/banners/MacBookAir-1140x380.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/index.php?route=product/product&path=57&product_id=49"
2018/11/15 23:31:17 [error] 1588#1588: *802 open() "/app/static/cache/banners/MacBookAir-1140x380.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/banners/MacBookAir-1140x380.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/index.php?route=product/product&path=57&product_id=49"
2018/11/19 18:50:19 [error] 1578#1578: *257 open() "/app/static/cache/products/9/thumb_3.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/9/thumb_3.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://backend.shop.dev:9999/shop/product/view?id=9"
2018/11/19 18:51:38 [error] 1578#1578: *257 open() "/app/static/cache/products/7/thumb_4.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/7/thumb_4.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://backend.shop.dev:9999/shop/product/view?id=7"
2018/11/19 18:51:38 [error] 1578#1578: *267 open() "/app/static/cache/products/7/thumb_5.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/7/thumb_5.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://backend.shop.dev:9999/shop/product/view?id=7"
2018/11/19 18:51:38 [error] 1578#1578: *268 open() "/app/static/cache/products/7/thumb_6.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/7/thumb_6.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://backend.shop.dev:9999/shop/product/view?id=7"
2018/11/19 18:51:45 [error] 1578#1578: *268 open() "/app/static/origin/products/7/4.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /origin/products/7/4.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://backend.shop.dev:9999/shop/product/view?id=7"
2018/11/19 18:51:46 [error] 1578#1578: *268 open() "/app/static/favicon.ico" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /favicon.ico HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://static.shop.dev:9999/origin/products/7/4.jpg"
2018/11/19 18:51:51 [error] 1578#1578: *268 open() "/app/static/cache/products/7/thumb_4.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/7/thumb_4.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://backend.shop.dev:9999/shop/product/view?id=7"
